tariff_id,tariff_version,customer_class,voltage_level,period_type,weekday_group,start_time,end_time,energy_charge_vnd_kwh,legal_effective_from,billing_effective_from,applicability,billing_status,source_id,recheck_before_release,notes
TAR-TOU-963-LEGAL,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,industrial_C&I,medium_voltage,peak,mon_sat,17:30,22:30,,2026-04-22,,legal_time_window_only,LEGAL_EFFECTIVE_NOT_BILLED,SRC-TAR-963,TRUE,Decision 963 legal window; one-hour engine uses interval midpoint; no billed energy rate inferred.
TAR-TOU-963-LEGAL,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,industrial_C&I,medium_voltage,normal,mon_sat,06:00,17:30,,2026-04-22,,legal_time_window_only,LEGAL_EFFECTIVE_NOT_BILLED,SRC-TAR-963,TRUE,Decision 963 legal window; no billed energy rate inferred.
TAR-TOU-963-LEGAL,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,industrial_C&I,medium_voltage,normal,mon_sat,22:30,24:00,,2026-04-22,,legal_time_window_only,LEGAL_EFFECTIVE_NOT_BILLED,SRC-TAR-963,TRUE,Decision 963 legal window; no billed energy rate inferred.
TAR-TOU-963-LEGAL,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,industrial_C&I,medium_voltage,normal,sunday,06:00,24:00,,2026-04-22,,legal_time_window_only,LEGAL_EFFECTIVE_NOT_BILLED,SRC-TAR-963,TRUE,Decision 963 Sunday normal window; no billed energy rate inferred.
TAR-TOU-963-LEGAL,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,industrial_C&I,medium_voltage,low,all_days,00:00,06:00,,2026-04-22,,legal_time_window_only,LEGAL_EFFECTIVE_NOT_BILLED,SRC-TAR-963,TRUE,Decision 963 low window; no billed energy rate inferred.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,peak,mon_sat,09:30,11:30,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,MOIT Q2 2026 briefing current peak reference; no numeric rate asserted.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,peak,mon_sat,17:00,20:00,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,MOIT Q2 2026 briefing current peak reference; no numeric rate asserted.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,normal,mon_sat,06:00,09:30,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,No numeric billed rate asserted.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,normal,mon_sat,11:30,17:00,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,No numeric billed rate asserted.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,normal,mon_sat,20:00,24:00,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,No numeric billed rate asserted.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,normal,sunday,06:00,24:00,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,No numeric billed rate asserted.
TAR-CURRENT-REF,TOU-CURRENT-BILLED-REFERENCE,industrial_C&I,medium_voltage,low,all_days,00:00,06:00,,2026-07-09,,current_practice_reference,CURRENT_BILLED_REFERENCE,SRC-REFRESH-MOIT-20260709,TRUE,No numeric billed rate asserted.
TAR-SIM-BASE,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,model_only,model_only,blended_base,all_day,,,1450,,,synthetic_model_input,SIMULATED_MODEL_INPUT,ASM-TARIFF-BASE,TRUE,Explicit simulated base component; not a billed tariff claim.
TAR-SIM-DAY-PREMIUM,TAR-TOU-963-EFFECTIVE_BILLING_WATCH,model_only,model_only,daytime_premium,all_day,,,1450,,,synthetic_model_input,SIMULATED_MODEL_INPUT,ASM-TARIFF-DAY-PREMIUM,TRUE,Explicit simulated daytime premium component; not a billed tariff claim.
