source_id,source_title,url,retrieved_date,fetch_status,material_fact,raw_snapshot_path,local_storage_status,release_use
SRC-REG-243,Decree 243/2026/ND-CP,https://vanban.chinhphu.vn/?classid=1&docid=218605&pageid=27160,2026-08-31,PASS,Issued/effective 2026-06-26; amendments to Decrees 57/58,NOT_STORED_LOCAL,NONE,Regulatory lineage
SRC-TAR-963,Decision 963/QD-BCT,https://moit.gov.vn/van-ban-phap-luat/quyet-dinh-ve-khung-gio-cao-diem-thap-diem-va-gio-binh-thuong-cua-he-thong-dien-quoc-gia.html,2026-08-31,PASS,Legal peak/normal/off-peak time framework dated 2026-04-22,NOT_STORED_LOCAL,NONE,Legal tariff schedule only
SRC-TAR-60,Circular 60/2025/TT-BCT,https://vanban.chinhphu.vn/?classid=1&docid=216125&pageid=27160&typegroupid=6,2026-08-31,PASS,Electricity pricing implementation rule effective 2025-12-02,NOT_STORED_LOCAL,NONE,Billed implementation chain
SRC-REFRESH-EVN-20260831,EVN/Electricity Authority implementation notice,https://evn.com.vn/d/vi-VN/news-d/Cuc-Dien-luc-thong-tin-ve-thoi-gian-ap-dung-khung-gio-cao-diem-thap-diem-va-gio-binh-thuong-cua-he-thong-dien-quoc-gia-60-2025-507824,2026-08-31,WATCH,Implementation tied to retail-price adjustment and Circular 60 condition,NOT_STORED_LOCAL,NONE,Billing watch
SRC-REFRESH-MOIT-20260709,MOIT Q2 2026 press briefing,https://moit.gov.vn/tin-tuc/bo-cong-thuong-hop-bao-thuong-ky-quy-ii-2026.html,2026-08-31,WATCH,Decision 963 issued but current billed implementation requires confirmation,NOT_STORED_LOCAL,NONE,Current billed reference separation
SRC-TAX-067,Law 67/2025/QH15,https://vanban.chinhphu.vn/?docid=214607&pageid=27160,2026-08-31,PASS,Registered tax rule; no automatic incentive assumed,NOT_STORED_LOCAL,NONE,Tax register
SRC-TAX-320,Decree 320/2025/ND-CP,https://vanban.chinhphu.vn/?classid=0&docid=216219&pageid=27160,2026-08-31,PASS,Cash tax/loss carryforward rule registered,NOT_STORED_LOCAL,NONE,Tax register
SRC-TAX-141,Decree 141/2026/ND-CP,https://vanban.chinhphu.vn/?classid=0&docid=217960&pageid=27160,2026-08-31,PASS,Tax amendment registered effective 2026-07-01,NOT_STORED_LOCAL,NONE,Tax register
SRC-TAX-020,Circular 20/2026/TT-BTC,https://vanban.chinhphu.vn/?docid=217191&pageid=27160,2026-08-31,PASS,Tax guidance/reporting context registered,NOT_STORED_LOCAL,NONE,Tax register
SRC-FX-008,Circular 08/2023/TT-NHNN,https://vanban.chinhphu.vn/?docid=208258&pageid=27160,2026-08-31,PASS,Foreign-borrowing eligibility/reporting source,NOT_STORED_LOCAL,NONE,FX/legal checklist
SRC-FX-019,Circular 19/2024/TT-NHNN,https://vanban.chinhphu.vn/?classid=1&docid=210566&pageid=27160,2026-08-31,PASS,Foreign-borrowing amendment read with Circular 08,NOT_STORED_LOCAL,NONE,FX/legal checklist
SRC-SOLAR-GSA,Global Solar Atlas methodology/PVOUT,https://www.globalsolaratlas.info/support/methodology,2026-08-31,PASS,PVOUT methodology registered; no extra generic PR layered,NOT_STORED_LOCAL,NONE,Energy methodology
SRC-SOLAR-NREL,NREL Commercial PV ATB 2024,https://atb.nrel.gov/electricity/2024/commercial_pv,2026-08-31,PASS,Technical comparator only for degradation/OPEX context,NOT_STORED_LOCAL,NONE,Comparator only
SRC-IRENA-2024,IRENA Renewable Power Generation Costs in 2024,https://www.irena.org/Digital-Report/Renewable-Power-Generation-Costs-in-2024,2026-08-31,PASS,Utility-scale CAPEX comparator only; not used as C&I evidence,NOT_STORED_LOCAL,NONE,Comparator only
SRC-REFRESH-EVN-20260730,EVN explainer on Decision 963 TOU adjustment,https://www.evn.com.vn/d/vi-VN/news/Dieu-chinh-khung-gio-cao-diem-Doanh-nghiep-duoc-loi-gi-60-3557-509124,2026-08-31,PASS,Public explainer dated 2026-07-30 describes new windows and mandatory TOU customer scope but does not confirm billing cutover,NOT_STORED_LOCAL,NONE,Billing watch
SRC-REFRESH-TAX-20260831,Government Portal draft amendment to Decree 320/2025,https://vanban.chinhphu.vn/du-thao-vbqppl/du-thao-nghi-dinh-sua-doi-bo-sung-mot-so-dieu-cua-nghi-dinh-so-320-2025-nd-cp-ngay-15-thang-12-n-7915,2026-08-31,PASS,Official draft consultation page dated 2026-08-28; proposed amendment to Decree 320/2025 as modified by Decree 141/2026; not effective law,NOT_STORED_LOCAL,NONE,Tax watch
