project_id,load_evidence_level,load_basis,observed_load_kwh,modeled_load_kwh,profile_method,source_id,status
EU-GY-ALTAREA-BOLLENE-ROOF,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-ALTAREA,REVIEWABLE_ASSUMPTION
EU-GY-ALTAREA-PUCEUL,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-ALTAREA,REVIEWABLE_ASSUMPTION
EU-GY-FRUEHAUF-AUXERRE,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-FRUEHAUF,REVIEWABLE_ASSUMPTION
EU-GY-PANATTONI-MOISSY,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-PANATTONI,REVIEWABLE_ASSUMPTION
EU-GY-SAFRAN-EVRY,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-SAFRAN,REVIEWABLE_ASSUMPTION
EU-GY-STELLANTIS-CAEN,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-STELLANTIS,REVIEWABLE_ASSUMPTION
EU-GY-STELLANTIS-CHARLEVILLE,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-STELLANTIS,REVIEWABLE_ASSUMPTION
EU-GY-STELLANTIS-VALENCIENNES,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-STELLANTIS,REVIEWABLE_ASSUMPTION
EU-GY-GIVA-CELLA,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-GIVA,REVIEWABLE_ASSUMPTION
EU-GY-GIVA-VISANO,LEVEL_3_ANNUAL_ONLY,ANNUAL_LOAD_RECONSTRUCTED_IN_OVERLAY_ONLY,,,DETERMINISTIC_8760_WEEKDAY_DAYTIME_SHAPE,GY-EU-GIVA,REVIEWABLE_ASSUMPTION
