source_id,source_title,publisher,country,source_type,source_tier,publication_date,effective_date,access_date,url,archival_status,recheck_required,model_role,allowed_use,prohibited_use,review_status,reviewer,notes
IFC-46362,IFC-46362,IFC,India,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/46362/fp-energy-pf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-49109,IFC-49109,IFC,India,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/49109/candi-solar-ci,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-38331,IFC-38331,IFC,India,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/38331/clean-max-equity,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-48136,IFC-48136,IFC,Thailand,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/48136/cleanmax-th,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-48551,IFC-48551,IFC,India|Vietnam,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/48551/fp-energy-ef,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-46500,IFC-46500,IFC,Vietnam,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/46500/kim-tin-mdf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-40099,IFC-40099,IFC,India,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/SII/40099/azure-rg-project,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-32148,IFC-32148,IFC,India,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/SII/32148/azure-rooftop,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
IFC-51528,IFC-51528,IFC,Mexico,transaction_disclosure,A2,,,2026-09-01,https://disclosures.ifc.org/project-detail/ESRS/51528/enlight-nzf,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
GSA-PVOUT,GSA-PVOUT,World Bank,Global,official_dataset,A1,,,2026-09-01,https://datacatalog.worldbank.org/search/dataset/0038641/world-photovoltaic-power-potential-pvout-gis-data-global-solar-atlas,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
PVGIS,PVGIS,EC JRC,European Union,official_dataset,A1,,,2026-09-01,https://joint-research-centre.ec.europa.eu/pvgis-online-tool_en,LIVE,true,public-data reconstruction / standardized screening,observed public facts or explicit benchmark assumptions,confidential terms / bankability claim,REVIEWED,VietGreen Risk,Lineage controlled; no confidential terms inferred.
