project_id,eligible_shortlist,selected_flag,capacity_mwp,standalone_debt_bvnd,standalone_equity_bvnd,pooled_allocated_debt_bvnd,pooled_equity_bvnd,equity_npv_bvnd,value_density,standalone_min_dscr,selection_reason,selection_method,parent_group_id,industry,region,pooled_feedback_converged
VG-001,True,False,1.4,14.531088671568387,16.525432161764943,0.0,0.0,-9.672364336222435,-0.5853017483319728,1.3,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-01,Electronics,North,True
VG-002,True,False,1.5,16.212560869138127,17.062282880861872,0.0,0.0,-9.414645294881696,-0.5517811045930878,1.3,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-01,Electronics,North,True
VG-003,True,True,1.1,11.619538533861874,12.782013549471458,11.61953853386187,12.782013549471463,-7.301582713021869,-0.5712388494005151,1.2999999999999998,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-02,Logistics,North,True
VG-004,True,False,1.45,15.884561800116314,16.281120491550354,0.0,0.0,-8.787707934211015,-0.5397483507828407,1.2999999999999998,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-03,Materials,North,True
VG-005,True,True,1.2,15.087314246253625,11.532560753746376,15.08731424625362,11.53256075374638,-4.410773905851399,-0.38246266375995897,1.2999999999999998,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-04,Food & Beverage,Central,True
VG-006,False,False,1.2,14.097771188760206,12.522103811239793,0.0,0.0,-5.86940379484504,-0.4687234576011648,1.2999999999999998,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-05,Textile,Central,True
VG-007,True,True,1.3,15.629920447473957,13.20827746919271,15.629920447473955,13.208277469192712,-5.831793317834425,-0.44152565173139596,1.2999999999999998,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-06,Packaging,Central,True
VG-008,True,True,1.3,15.542471128986671,13.295726787679996,15.542471128986667,13.29572678768,-5.960697450657899,-0.4483167822146559,1.3,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-07,Hospitality,South,True
VG-009,False,False,1.3,15.918768196416805,12.919429720249862,0.0,0.0,-5.406019060932651,-0.4184409976285004,1.3,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-08,Automotive,South,True
VG-010,True,True,1.3,15.320873967055595,13.517323949611072,15.320873967055594,13.517323949611075,-6.287341391273876,-0.4651321085971886,1.3,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-09,Pharma,South,True
VG-011,True,True,1.2,14.30058294153476,12.31929205846524,14.300582941534758,12.319292058465242,-5.570450371650394,-0.4521729288675027,1.3,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-10,Plastics,South,True
VG-012,True,True,1.15,13.249791813090528,12.26092172857614,13.249791813090525,12.260921728576143,-6.0089402234866505,-0.49008878422915014,1.2999999999999998,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-04,Food & Beverage,South,True
VG-013,True,True,1.05,12.028406991492181,11.263983633507818,12.028406991492178,11.263983633507822,-5.588470283500528,-0.4961362219025324,1.3,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-11,Agribusiness,South,True
VG-014,True,True,1.25,14.154701152337385,13.574335305995946,14.154701152337381,13.57433530599595,-6.89590891175451,-0.5080107980468483,1.2999999999999998,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-12,Chemicals,South,True
VG-015,True,True,1.2,13.667631976831762,12.952243023168238,13.66763197683176,12.95224302316824,-6.503447868213896,-0.5021097779420056,1.3,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-01,Electronics,South,True
VG-016,False,False,1.0,10.261229218782947,11.92199994788372,0.0,0.0,-9.444186190980318,-0.792164589185119,1.3,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-13,Rubber,South,True
VG-017,False,False,1.2,13.468734039709787,13.151140960290213,0.0,0.0,-6.796632155394064,-0.5168093153222563,1.2999999999999998,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-14,Steel,North,True
VG-018,True,False,1.15,12.077216720469535,13.433496821197133,0.0,0.0,-7.7373673639073175,-0.5759756723728318,1.3,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-15,Machinery,North,True
VG-019,True,True,1.05,11.85577442660118,11.436616198398822,11.855774426601176,11.436616198398825,-5.8429382594585375,-0.510897468105695,1.2999999999999998,selected_after_hard_gates_and_budget,greedy_value_density_plus_pairwise_swap,PG-16,Retail,North,True
VG-020,False,False,1.05,11.95917797972779,11.333212645272209,0.0,0.0,-5.69051688468716,-0.5021097779420056,1.3,hard_gate_or_budget_or_concentration,greedy_value_density_plus_pairwise_swap,PG-17,Food & Beverage,South,True
