scenario_id,energy_case,cfads_factor,capex_factor,cod_delay_years,interest_rate,fx_depreciation,dso_days,offtaker_default_year,site_event_factor,common_factor,portfolio_cfads_bvnd,portfolio_dscr,debt_service_bvnd,terminal_branch,mechanism_note,scenario_isolation_status
BASE_SPONSOR,P50,1.0,1.0,0,0.085,0.0,30.0,0,1.0,1.0,483.25159587709044,1.2999999999999998,229.77271546672634,ZERO_RESIDUAL_NO_SALE,base P50 economics,PASS
P90_ENERGY,P90,0.8974996260302472,1.0,0,0.085,0.0,30.0,0,1.0,1.0,433.71812657820885,1.162950668826105,229.77271546672634,ZERO_RESIDUAL_NO_SALE,"8,760 profile recomputed with P90 generation",PASS
CAPEX_OVERRUN,P50,1.0,1.15,0,0.085,0.0,30.0,0,1.0,1.0,483.25159587709044,1.2999999999999998,229.77271546672634,ZERO_RESIDUAL_NO_SALE,15% CAPEX overrun; facility re-sized against the same CFADS,PASS
COD_DELAY,P50,0.9245956699104014,1.0,1,0.085,0.0,30.0,0,1.0,1.0,446.812333025249,0.0,229.77271546672634,ZERO_RESIDUAL_NO_SALE,one-year COD delay shifts CFADS one period,PASS
INTEREST_RATE_SHOCK,P50,1.0,1.0,0,0.11,0.0,30.0,0,1.0,1.0,483.25159587709044,1.3,243.0673358951272,ZERO_RESIDUAL_NO_SALE,rate shock holds debt and rebuilds service,PASS
FX_CRAWL,P50,1.0,1.0,0,0.085,0.04,30.0,0,1.0,1.0,483.25159587709044,1.072911866592174,257.0802767918017,ZERO_RESIDUAL_NO_SALE,4% annual VND depreciation translates USD debt service by period,PASS
FX_ONE_OFF,P50,1.0,1.0,0,0.085,0.1,30.0,0,1.0,1.0,483.25159587709044,0.774282460375586,311.5822734444113,ZERO_RESIDUAL_NO_SALE,10% one-off FX translation shock,PASS
DSO_DELAY,P50,1.0,1.0,0,0.085,0.0,90.0,0,1.0,1.0,483.25159587709044,0.9970260335234687,229.77271546672634,ZERO_RESIDUAL_NO_SALE,90-day receivables cycle recomputes working capital,PASS
OFFTAKER_PARTIAL_NONPAYMENT,P50,0.9933774554547992,1.0,0,0.085,0.0,30.0,3,1.0,1.0,480.05124065685504,1.1700000000000002,229.77271546672634,ZERO_RESIDUAL_NO_SALE,10% payment shortfall in year 3,PASS
OFFTAKER_DEFAULT_TERMINATION,P50,0.1913376351320311,1.0,0,0.085,0.0,30.0,4,1.0,1.0,92.46421752890247,0.0,229.77271546672634,ZERO_RESIDUAL_NO_SALE,selected portfolio CFADS terminates from year 4,PASS
SITE_CONTINUITY_EVENT,P50,0.88,1.0,0,0.085,0.0,30.0,0,0.88,1.0,425.2614043718396,1.144,229.77271546672634,ZERO_RESIDUAL_NO_SALE,12% cash-flow event haircut,PASS
COMBINED_DOWNSIDE,P90,0.7469013325972204,1.15,1,0.085,0.0,90.0,0,1.0,0.9,360.94126094033226,0.0,229.77271546672634,ZERO_RESIDUAL_NO_SALE,"P90 plus COD delay, DSO and common factor",PASS
PORTFOLIO_COMMON_FACTOR_DOWNSIDE,P50,0.78,1.0,0,0.085,0.0,30.0,0,1.0,0.78,376.93624478413057,1.0139999999999998,229.77271546672634,ZERO_RESIDUAL_NO_SALE,"common-factor downside, isolated from idiosyncratic events",PASS
