portfolio_case,portfolio_status,empty_solution_reason,project_id,project_name,region,industry,parent_group_id,archetype_id,ppa_zone_status,project_npv_vnd,project_irr,equity_npv_vnd,equity_irr,equity_required_vnd,min_dscr,selected_flag,rejection_reason,parent_exposure_count,industry_exposure_count,region_exposure_count,selected_count,selected_equity_required_vnd,selected_equity_npv_vnd,equity_budget_vnd,capex_factor,transaction_evidence_status
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-001,Northern Electronics One,North,Electronics,PG-01,ARCH-01,EMPTY_ZONE,-10492753849.686102,0.05253806736483335,-9636155271.193146,0.036979359686659996,16500904678.370903,1.2999999999999998,False,ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-002,Bac Ninh Precision,North,Electronics,PG-01,ARCH-02,EMPTY_ZONE,-10331627070.528082,0.058545306069843206,-9375849868.064606,0.045023906991347284,17036003434.36826,1.2999999999999998,False,ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-003,Hanoi Cold Chain,North,Logistics,PG-02,ARCH-03,EMPTY_ZONE,-7958115134.269934,0.05512805136946908,-7273132733.356005,0.04041040712724986,12762741955.376146,1.2999999999999998,False,ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-004,Quang Ninh Cement,North,Materials,PG-03,ARCH-04,EMPTY_ZONE,-9686664433.234818,0.0605683555073272,-8750205688.28782,0.04780420118838602,16255717026.606524,1.3,False,ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-005,Da Nang Food Hub,Central,Food & Beverage,PG-04,ARCH-05,FEASIBLE_ZONE,-5273086775.652839,0.08204450504967042,-4383621937.2929535,0.08007529953148185,11514172377.868004,1.3,False,positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-006,Hue Garments,Central,Textile,PG-05,ARCH-06,EMPTY_ZONE,-6669567444.549458,0.07129376464312231,-5838367453.391363,0.06322945818318548,12501080254.044903,1.2999999999999998,False,credit_gate|ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-007,Quang Ngai Packaging,Central,Packaging,PG-06,ARCH-07,EMPTY_ZONE,-6719733535.343,0.07492614579292922,-5798170614.592947,0.06874867373301485,13185501948.898247,1.3,False,site_continuity_gate|ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-008,Nha Trang Hospitality,South,Hospitality,PG-07,ARCH-08,EMPTY_ZONE,-6843474854.794978,0.0740409737947848,-5927074747.41642,0.06738848935881536,13272951267.385532,1.2999999999999998,False,ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-009,Binh Duong Auto Parts,South,Automotive,PG-08,ARCH-09,EMPTY_ZONE,-6311012207.456169,0.07783302766167066,-5372396357.691167,0.07328806762495466,12896654199.955397,1.2999999999999998,False,regulatory_gate|ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
CURRENT_TERMS,NO_DEPLOYMENT,NO_PROJECT_PASSES_ALL_HARD_GATES_AND_POSITIVE_EQUITY_NPV,VG-010,Dong Nai Pharma,South,Pharma,PG-09,ARCH-10,EMPTY_ZONE,-7157036191.561161,0.07178703272330955,-6253718688.0324,0.06396943543453959,13494548429.316612,1.2999999999999998,False,ppa_zone_empty|positive_equity_npv_gate,0,0,0,0,0,0,100000000000.0,1.0,OPEN_EXTERNAL_GATE
