project_id,archetype_id,archetype_name,region,profile_hour_count,effective_daytime_share,self_consumption_kwh_p50,excess_kwh_p50,self_consumption_ratio_p50,self_consumption_ratio_p90,profile_hash_p50,profile_hash_p90
VG-001,ARCH-01,continuous_process,North,8760,0.75,1848000.0,0.0,1.0,1.0,88b9965c2f2bee3d845bfa20bc129a905a2b846748ea239c1bae9c56bd77ad66,2842b9d9b5156f95b751afc6c762e5d24e2d076a23f3c643f762e559a02ba40b
VG-002,ARCH-02,electronics_day_shift,North,8760,0.738,1979999.9999999998,0.0,1.0,1.0,04a096240d528ba46cdff1a6ccf5c41478119b824b49546f66b23b8b3c01bd9a,f22c14b8e37f89359d75b7e756b2548f4682ef1aabd3d4bb7e6622ad7453e357
VG-003,ARCH-03,cold_chain_24x7,North,8760,0.507,1451999.9999999998,0.0,1.0,1.0,40e820a58b2072688081ef24ccf6cd8f34934a7bb0f786677efe043db2dbcfff,be5d664d6a1193ef5dde44b5e6e4731589dfca9410705db743f1ea1d4d53b0f2
VG-004,ARCH-04,food_day_extended,North,8760,0.68,1914000.0000000002,0.0,1.0,1.0,aac839a7bf468cac85dd5d46fb50ea12f498ce97098593ff11a3beafd80dfdaa,5d7398eb0448a60f2dda238ed0ccfc29d55fcfeb5c0efd98201f4f6840fef8fa
VG-005,ARCH-05,textile_weekday,Central,8760,0.132,1775698.1145618747,301.8854381251034,0.9998300194605151,1.0,3ba049c6a796e3971551c8e3c8eba10704743759a280bd1ffac993698b4636fd,d9b43671deb4e70115074ae8e1d5bc7d7b32525012f1b52c4f7f047ce0ac56c4
VG-006,ARCH-06,hospitality_evening,Central,8760,0.22799999999999998,1776000.0000000002,0.0,1.0,1.0,10d59b84911302b9d471ef9c8bf0b5e803b95cc32988ccaecd4a2081afa1b3af,4dc37316b8673263fa7a4c7f63168b234a48c16e06485078cfdb48d337c50b04
VG-007,ARCH-07,pharma_stable,Central,8760,0.8,1924000.0,0.0,1.0,1.0,e6543f5c7612e39beda86f7d3976a53dbfe4c19411ff66ff0a20ab7cc27a49f0,62556826fce66111e12fdca506c1cc5d8fb80109ed3b37698606e5e01256f73b
VG-008,ARCH-08,automotive_two_shift,South,8760,0.595,1845999.9999999998,0.0,1.0,1.0,a870de1d0ec27b9a212c4078a3bcc9c28414900ebbbb120bcaf63f6074407f4d,d99afe46c456b8e89280d976a44f5fc5003c49119412a17487abeabce25606fd
VG-009,ARCH-09,agribusiness_seasonal,South,8760,0.13319999999999999,1846000.0000000002,0.0,1.0,1.0,1b4798cf46ba44d60163cd9da6c84b287a38c245f6cfc65e9a5ec72a1106f134,50be7f5a1c1ea6ef0453a19558594e448a81052d3273975aa43d6dffc60af15a
VG-010,ARCH-10,plastics_mixed_shift,South,8760,0.63,1845999.9999999998,0.0,1.0,1.0,8ac1893373b67a465d3c2d1a6cca5800062cdf0d24a79b2db9883f8fc158f66e,58c86bf2f75fc6bf32bb068cc9f81908c1f30f50bfbdd5c5a8d11205a6d112df
VG-011,ARCH-01,continuous_process,South,8760,0.86,1704000.0,0.0,1.0,1.0,7e0a2114bcf07bad30534fd55daab85019df7e19420cfd97b381d693af7bc615,0a7e6b96c0a88f9b0daaa98baaa738542e803cfef55f0d16be7330cf95211490
VG-012,ARCH-02,electronics_day_shift,South,8760,0.7200000000000001,1633000.0,0.0,1.0,1.0,1612a25a2d406fc03605489de8c024554a4b0af4fd3d6f63cca8b2562d5ba9a6,ac3b5e41bce06507a2c453b883a4ae8e43587ab096827735e66e2f7b4071fa1a
VG-013,ARCH-03,cold_chain_24x7,South,8760,0.5135000000000001,1491000.0000000002,0.0,1.0,1.0,cd4110db9014427e0319f64e639e1945ba9d870691cb143aa33a73f8a359214f,34bb91c3e031df24fc239a5e6a01c0063d9acd9745a38f2aadeb52e345eb5c0d
VG-014,ARCH-04,food_day_extended,South,8760,0.77,1775000.0,0.0,1.0,1.0,929771d32af5e418fe13a0f7c1c2a43a1dbc6f5efa231a35b64ff86bc88d0e05,0b110ed51acbed629543dbe2c1df018e7f9321da3ef3f7b40eaa74c20e7e1cd0
VG-015,ARCH-05,textile_weekday,South,8760,0.11699999999999999,1686268.2404134346,17731.759586565284,0.9895940378013114,0.997558408949442,497b4522676406d5459c0bcc991e72e19cb7241689ae93d4ceb8caa733db06d7,254ded9d4f1118d7b92cf8e367475190f028f17fb15e3e7d6ce78e2ad00f451e
