project_id,fx_scenario,annual_depreciation,usd_debt_fraction,translated_debt_service_bvnd,break_even_depreciation,period_translation_status
VG-001,CRAWL_0PCT,0.0,0.5,10.915721694962853,0.2,PASS
VG-001,CRAWL_2PCT,0.02,0.5,12.138284736270784,0.2,PASS
VG-001,CRAWL_4PCT,0.04,0.5,13.50771542446791,0.2,PASS
VG-001,CRAWL_6PCT,0.06,0.5,15.041324155301758,0.2,PASS
VG-002,CRAWL_0PCT,0.0,0.5,12.180496510280996,0.2,PASS
VG-002,CRAWL_2PCT,0.02,0.5,13.545188891683589,0.2,PASS
VG-002,CRAWL_4PCT,0.04,0.5,15.07387299969213,0.2,PASS
VG-002,CRAWL_6PCT,0.06,0.5,16.78588321068451,0.2,PASS
VG-003,CRAWL_0PCT,0.0,0.5,8.729092317296127,0.2,PASS
VG-003,CRAWL_2PCT,0.02,0.5,9.706901492446624,0.2,PASS
VG-003,CRAWL_4PCT,0.04,0.5,10.802191500684753,0.2,PASS
VG-003,CRAWL_6PCT,0.06,0.5,12.028810874717966,0.2,PASS
VG-004,CRAWL_0PCT,0.0,0.5,11.934595932186461,0.2,PASS
VG-004,CRAWL_2PCT,0.02,0.5,13.271888147932948,0.2,PASS
VG-004,CRAWL_4PCT,0.04,0.5,14.769895304768617,0.2,PASS
VG-004,CRAWL_6PCT,0.06,0.5,16.4475672467362,0.2,PASS
VG-005,CRAWL_0PCT,0.0,0.5,11.340332751457098,0.2,PASS
VG-005,CRAWL_2PCT,0.02,0.5,12.612392243225163,0.2,PASS
VG-005,CRAWL_4PCT,0.04,0.5,14.037469728693104,0.2,PASS
VG-005,CRAWL_6PCT,0.06,0.5,15.633623696328408,0.2,PASS
VG-006,CRAWL_0PCT,0.0,0.5,10.594442876514844,0.2,PASS
VG-006,CRAWL_2PCT,0.02,0.5,11.7822332309452,0.2,PASS
VG-006,CRAWL_4PCT,0.04,0.5,13.112841444430897,0.2,PASS
VG-006,CRAWL_6PCT,0.06,0.5,14.60311505976559,0.2,PASS
VG-007,CRAWL_0PCT,0.0,0.5,11.746662237731337,0.2,PASS
VG-007,CRAWL_2PCT,0.02,0.5,13.063865643513953,0.2,PASS
VG-007,CRAWL_4PCT,0.04,0.5,14.53947177856149,0.2,PASS
VG-007,CRAWL_6PCT,0.06,0.5,16.192169433504848,0.2,PASS
VG-008,CRAWL_0PCT,0.0,0.5,11.680745387791031,0.2,PASS
VG-008,CRAWL_2PCT,0.02,0.5,12.990501640492342,0.2,PASS
VG-008,CRAWL_4PCT,0.04,0.5,14.457759201528596,0.2,PASS
VG-008,CRAWL_6PCT,0.06,0.5,16.101099846102606,0.2,PASS
VG-009,CRAWL_0PCT,0.0,0.5,11.964387590564472,0.2,PASS
VG-009,CRAWL_2PCT,0.02,0.5,13.306189168645934,0.2,PASS
VG-009,CRAWL_4PCT,0.04,0.5,14.80937089663984,0.2,PASS
VG-009,CRAWL_6PCT,0.06,0.5,16.492975040378926,0.2,PASS
VG-010,CRAWL_0PCT,0.0,0.5,11.513711646157782,0.2,PASS
VG-010,CRAWL_2PCT,0.02,0.5,12.804596762801895,0.2,PASS
VG-010,CRAWL_4PCT,0.04,0.5,14.250698981074198,0.2,PASS
VG-010,CRAWL_6PCT,0.06,0.5,15.870328898362112,0.2,PASS
VG-011,CRAWL_0PCT,0.0,0.5,10.74731670223499,0.2,PASS
VG-011,CRAWL_2PCT,0.02,0.5,11.95237843391249,0.2,PASS
VG-011,CRAWL_4PCT,0.04,0.5,13.302348592781934,0.2,PASS
VG-011,CRAWL_6PCT,0.06,0.5,14.814322910953015,0.2,PASS
VG-012,CRAWL_0PCT,0.0,0.5,9.956595689365763,0.2,PASS
VG-012,CRAWL_2PCT,0.02,0.5,11.072704538847109,0.2,PASS
VG-012,CRAWL_4PCT,0.04,0.5,12.322994544377678,0.2,PASS
VG-012,CRAWL_6PCT,0.06,0.5,13.723292394531803,0.2,PASS
VG-013,CRAWL_0PCT,0.0,0.5,9.03862186742238,0.2,PASS
VG-013,CRAWL_2PCT,0.02,0.5,10.051782255275628,0.2,PASS
VG-013,CRAWL_4PCT,0.04,0.5,11.18674226517234,0.2,PASS
VG-013,CRAWL_6PCT,0.06,0.5,12.457867633429323,0.2,PASS
VG-014,CRAWL_0PCT,0.0,0.5,10.636019145899695,0.2,PASS
VG-014,CRAWL_2PCT,0.02,0.5,11.828125516689422,0.2,PASS
VG-014,CRAWL_4PCT,0.04,0.5,13.16353237230998,0.2,PASS
VG-014,CRAWL_6PCT,0.06,0.5,14.65914006916601,0.2,PASS
VG-015,CRAWL_0PCT,0.0,0.5,10.270215971416073,0.2,PASS
VG-015,CRAWL_2PCT,0.02,0.5,11.42137582245414,0.2,PASS
VG-015,CRAWL_4PCT,0.04,0.5,12.710919690235844,0.2,PASS
VG-015,CRAWL_6PCT,0.06,0.5,14.155168738016442,0.2,PASS
VG-016,CRAWL_0PCT,0.0,0.5,7.154873130239113,0.2,PASS
VG-016,CRAWL_2PCT,0.02,0.5,7.791530866725653,0.2,PASS
VG-016,CRAWL_4PCT,0.04,0.5,8.485389910418366,0.2,PASS
VG-016,CRAWL_6PCT,0.06,0.5,9.241290155901149,0.2,PASS
VG-017,CRAWL_0PCT,0.0,0.5,10.120292270448498,0.2,PASS
VG-017,CRAWL_2PCT,0.02,0.5,11.254514043398306,0.2,PASS
VG-017,CRAWL_4PCT,0.04,0.5,12.525069608269494,0.2,PASS
VG-017,CRAWL_6PCT,0.06,0.5,13.948036728502965,0.2,PASS
VG-018,CRAWL_0PCT,0.0,0.5,9.072741386541459,0.2,PASS
VG-018,CRAWL_2PCT,0.02,0.5,10.088994155207939,0.2,PASS
VG-018,CRAWL_4PCT,0.04,0.5,11.22734126496901,0.2,PASS
VG-018,CRAWL_6PCT,0.06,0.5,12.50217447468584,0.2,PASS
VG-019,CRAWL_0PCT,0.0,0.5,8.90849626928653,0.2,PASS
VG-019,CRAWL_2PCT,0.02,0.5,9.906955328875588,0.2,PASS
VG-019,CRAWL_4PCT,0.04,0.5,11.025434527146992,0.2,PASS
VG-019,CRAWL_6PCT,0.06,0.5,12.278088342649598,0.2,PASS
VG-020,CRAWL_0PCT,0.0,0.5,8.986438974989062,0.2,PASS
VG-020,CRAWL_2PCT,0.02,0.5,9.993703844647369,0.2,PASS
VG-020,CRAWL_4PCT,0.04,0.5,11.12205472895636,0.2,PASS
VG-020,CRAWL_6PCT,0.06,0.5,12.385772645764384,0.2,PASS
