project_id,minimum_dscr,llcr,plcr,dsra_target_vnd,lockup_headroom,four_dscr_concepts,llcr_discount_rate,plcr_discount_rate,coverage_status
VG-001,1.3,1.35,1.729472379385245,1045446602.2234993,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-002,1.3,1.35,1.7296915875519554,1165618087.4493086,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-003,1.2999999999999998,1.35,1.7295685061021782,835721301.9517621,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-004,1.2999999999999998,1.35,1.7297625067457245,1141781770.336931,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-005,1.2999999999999998,1.35,1.7304358185973339,1082180674.3851585,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-006,1.2999999999999998,1.35,1.7301158124682705,1012222069.3693522,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-007,1.2999999999999998,1.35,1.7302273585492483,1121836738.0725057,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-008,1.3,1.35,1.7302005342927915,1115654255.8807251,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-009,1.3,1.35,1.7303138654715533,1142257664.099903,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-010,1.3,1.35,1.730131190325495,1099987804.3738759,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-011,1.3,1.35,1.730185007500124,1026560432.109078,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-012,1.2999999999999998,1.35,1.730019860335388,951624242.3728858,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-013,1.3,1.35,1.7299912268937712,863979963.2798481,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-014,1.2999999999999998,1.35,1.7299329597043769,1016894373.0149227,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-015,1.3,1.35,1.7299622619469508,981812135.2070761,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-016,1.3,1.35,1.2694485358198315,878659741.6153101,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-017,1.2999999999999998,1.35,1.7298879435695054,967750470.9710382,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-018,1.3,1.35,1.7295368378603149,868725658.8955413,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-019,1.2999999999999998,1.35,1.7299183686450412,851775205.4084044,0.04999999999999982,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
VG-020,1.3,1.35,1.7299622619469506,859085618.3061914,0.050000000000000044,sizing|sculpting|covenant|lockup,0.085,0.085,PASS
