project_id,equity_npv_vnd_target,equity_npv_usd_equivalent_target,usd_equity_npv_vnd_equivalent_at_zero_fx,initial_equity_usd_zero_fx,usd_equity_npv_vnd_equivalent_at_4pct_fx,fx_break_even_depreciation,fx_break_even_primary_residual_vnd,fx_break_even_primary_status,fx_break_even_primary_iterations,dscr_break_even_depreciation,dscr_break_even_secondary_residual,dscr_break_even_secondary_status,dscr_break_even_secondary_iterations,min_dscr_usd_zero_fx,min_dscr_usd_4pct_fx,min_dscr_usd_4pct_hedged,hedge_value_delta_vnd_equivalent,usd_npv_monotonic_pass,dscr_monotonic_pass
VG-001,207605829.7567833,8304.233190271332,976625028.9408624,347833.0333333333,-3143093220.9393706,0.006612165723913321,-7.557868957519531e-05,ROOT_CONVERGED,48,32.0,0.10708248271986265,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,3934611944.1685057,True,True
VG-002,659484372.0999775,26379.3748839991,1478741154.2654057,372678.25,-2875636708.722738,0.006431705914037522,8.702278137207031e-05,ROOT_CONVERGED,48,32.0,0.1070836376699813,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,4155046762.5192876,True,True
VG-003,300477297.6528483,12019.091906113932,903231926.7834053,273297.38333333336,-2314956248.4692955,0.006533853684311808,-1.4483928680419922e-05,ROOT_CONVERGED,48,32.0,0.10708298356187429,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399012,3072432304.377631,True,True
VG-004,-414921824.6865656,-16596.872987462622,388871775.19310457,360255.6416666667,-3964438536.672401,0.007067337561400322,0.0001577138900756836,ROOT_CONVERGED,48,32.0,0.10708066801364224,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,4163046812.4166903,True,True
VG-005,1989346696.591745,79573.8678636698,2618252517.5837936,298142.6,-1176558370.065885,0.005551713116906498,-0.0001938343048095703,ROOT_CONVERGED,48,32.0,0.10708792369250641,BOUNDARY_NO_ROOT,0,1.2999999999999998,1.3,1.2807881773399015,3632268819.8248725,True,True
VG-006,1301763064.0835173,52070.522563340695,1940647436.0047777,298142.6,-1681097511.98731,0.005982514793414495,0.00012564659118652344,ROOT_CONVERGED,48,32.0,0.10708600929818668,BOUNDARY_NO_ROOT,0,1.2999999999999998,1.2999999999999998,1.2807881773399015,3460522577.1112847,True,True
VG-007,1659200388.6994622,66368.01554797849,2342950046.304048,322987.81666666665,-1638507796.013822,0.0058267821378148454,4.6253204345703125e-05,ROOT_CONVERGED,48,32.0,0.1070866649463249,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,3806251012.786651,True,True
VG-008,619105123.0776739,24764.204923106958,1328617128.0391655,322987.81666666665,-2438691752.058259,0.0064096032122034075,0.00017786026000976562,ROOT_CONVERGED,48,32.0,0.10708377932883262,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,3594446140.1389318,True,True
VG-009,851945953.5576799,34077.8381423072,1558958075.0492907,322987.81666666665,-2224907580.530902,0.006303089033893983,1.5497207641601562e-06,ROOT_CONVERGED,48,32.0,0.10708446260616156,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,3610468606.0904818,True,True
VG-010,1443886166.6232185,57755.44666492874,2134810442.5746741,322987.81666666665,-1796502326.0080004,0.005961223635297941,8.940696716308594e-05,ROOT_CONVERGED,48,32.0,0.10708609886028198,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,3756579945.264919,True,True
VG-011,1443063022.3210607,57722.520892842425,2076905460.9967058,298142.6,-1577413601.6786256,0.005886264619766379,-1.6689300537109375e-05,ROOT_CONVERGED,48,32.0,0.10708641436868804,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,3492780621.36761,True,True
VG-012,1065980957.1026962,42639.23828410785,1684723015.3070836,285719.9916666667,-1744264718.3679454,0.006114098643633881,-0.00016129016876220703,ROOT_CONVERGED,48,32.0,0.10708545631557143,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,3274889048.402323,True,True
VG-013,925054763.5498844,37002.19054199538,1491714209.0404499,260874.77499999997,-1626706453.737881,0.006152947660835295,-0.00012695789337158203,ROOT_CONVERGED,48,32.0,0.10708529322640437,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399012,2977829752.6060843,True,True
VG-014,987092861.9401104,39483.714477604415,1665109408.948958,310565.2083333334,-2017666866.0609143,0.006225022764850152,8.130073547363281e-05,ROOT_CONVERGED,48,32.0,0.10708496404116619,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,3515663023.4347534,True,True
VG-015,901815019.2599704,36072.600770398814,1553202570.6648443,298142.6,-1970141748.8506572,0.006247044983007655,3.230571746826172e-05,ROOT_CONVERGED,48,32.0,0.10708482253255935,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,3363020683.6927056,True,True
VG-016,655343041.1982114,26213.721647928458,1199198519.2686832,248452.1666666667,-1711467369.6391573,0.006303089033893983,3.337860107421875e-06,ROOT_CONVERGED,48,32.0,0.10708446260616178,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,2777283543.1465244,True,True
VG-017,28102292.533221304,1124.0917013288522,688870415.1998671,298142.6,-2862752990.812643,0.006726485823113748,-0.00014332309365272522,ROOT_CONVERGED,48,32.0,0.1070819728175938,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,3393304715.0976768,True,True
VG-018,266268024.47716892,10650.720979086756,896934516.4183493,285719.9916666667,-2474063213.108101,0.006559793123274815,0.00010657310485839844,ROOT_CONVERGED,48,32.0,0.10708281760628124,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,3218726434.950031,True,True
VG-019,68294461.41692045,2731.778456676818,645997332.7684851,260874.77499999997,-2455712549.8755345,0.006681924884732737,1.125037670135498e-05,ROOT_CONVERGED,48,32.0,0.10708214380684233,BOUNDARY_NO_ROOT,0,1.3,1.3,1.2807881773399015,2963080736.5157676,True,True
VG-020,876822566.2668679,35072.90265067472,1445203056.2787724,260874.77499999997,-1660773310.614537,0.00619205379156007,-3.266334533691406e-05,ROOT_CONVERGED,48,32.0,0.10708512913800639,BOUNDARY_NO_ROOT,0,1.3,1.2999999999999998,1.2807881773399015,2965493346.145636,True,True
