project_id,case,ppa_price_vnd_kwh,capex_factor,ppa_tenor_years,capex_vnd,debt_vnd,equity_required_vnd,cfads_y1_vnd,min_dscr,project_npv_vnd,project_irr,equity_npv_vnd,equity_irr,binding_cap,ppa_zone_status,transaction_evidence_status
VG-001,CURRENT_TERMS,2080.75,1.0,15,31056520833.333332,14555616154.96243,16500904678.370903,2723548664.84582,1.2999999999999998,-10492753849.686102,0.05253806736483335,-9636155271.193146,0.036979359686659996,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-001,NEGOTIATED_TERMS_HYPOTHETICAL,2511.6709678531647,0.8,15,24845216666.666668,16149390833.333334,8695825833.333334,3218486693.3322005,1.2999999999999998,-377806892.0897505,0.11720690053521599,207605829.7567833,0.14321068406779636,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-002,CURRENT_TERMS,2163.98,1.0,18,33274843750.0,16238840315.63174,17036003434.36826,3036379347.794689,1.2999999999999998,-10331627070.528082,0.058545306069843206,-9375849868.064606,0.045023906991347284,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-002,NEGOTIATED_TERMS_HYPOTHETICAL,2562.420967853165,0.8,18,26619875000.0,17302918750.0,9316956250.0,3520507558.9028964,1.3,150456411.6938454,0.12103371184236378,659484372.0999775,0.1493719427944623,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-003,CURRENT_TERMS,2116.42,1.0,15,24401552083.333332,11638810127.957186,12762741955.376146,2177108420.0540047,1.2999999999999998,-7958115134.269934,0.05512805136946908,-7273132733.356005,0.04041040712724986,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-003,NEGOTIATED_TERMS_HYPOTHETICAL,2533.4209678531674,0.8,15,19521241666.666668,12688807083.333334,6832434583.333334,2551480074.702309,1.3,-122341283.38547826,0.11885100012988892,300477297.6528483,0.14587462177487487,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-004,CURRENT_TERMS,2192.4,1.0,20,32165682291.666668,15909965265.060144,16255717026.606524,2974212512.6216254,1.3,-9686664433.234818,0.0605683555073272,-8750205688.28782,0.04780420118838602,LLCR,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-004,NEGOTIATED_TERMS_HYPOTHETICAL,2435.9999999999964,0.8,20,25732545833.333336,16726154791.666668,9006391041.666668,3229469444.1794863,1.3,-1191609859.1700456,0.11143786931442612,-414921824.6865656,0.13365325383193138,LEVERAGE,EMPTY_ZONE,OPEN_EXTERNAL_GATE
VG-005,CURRENT_TERMS,2235.32,1.0,15,26619875000.0,15105702622.131996,11514172377.868004,2817803225.1780033,1.3,-5273086775.652839,0.08204450504967042,-4383621937.2929535,0.08007529953148185,LLCR,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
VG-005,NEGOTIATED_TERMS_HYPOTHETICAL,2471.7395976456164,0.8,15,21295900000.0,13842335000.0,7453565000.0,3053418087.940763,1.3,1944886398.1170378,0.1364288257689571,1989346696.591745,0.17349187625614693,LEVERAGE,FEASIBLE_ZONE,OPEN_EXTERNAL_GATE
