project_id,construction_month,construction_share,construction_capex_gross_vnd,construction_capex_net_vnd,vat_vnd,idc_vnd,cumulative_capex_gross_vnd,cumulative_idc_vnd,total_construction_gross_vnd,total_construction_net_vnd,total_vat_vnd,idc_rate,total_uses_vnd,reconciliation_status,source_or_assumption_id
VG-001,1,0.05,1487500000.0,1352272727.2727273,135227272.72727284,110153882.57575758,1487500000.0,110153882.57575758,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,2,0.08,2380000000.0,2163636363.6363635,216363636.36363655,160920454.54545453,3867500000.0,271074337.1212121,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,3,0.1,2975000000.0,2704545454.5454545,270454545.4545457,181993371.21212122,6842500000.0,453067708.3333334,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,4,0.12,3570000000.0,3245454545.454545,324545454.5454548,195403409.0909091,10412500000.0,648471117.4242425,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,5,0.14,4165000000.0000005,3786363636.3636365,378636363.636364,201150568.18181822,14577500000.0,849621685.6060607,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,6,0.14,4165000000.0000005,3786363636.3636365,378636363.636364,174330492.42424244,18742500000.0,1023952178.0303032,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,7,0.12,3570000000.0,3245454545.454545,324545454.5454548,126437500.0,22312500000.0,1150389678.0303032,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,8,0.1,2975000000.0,2704545454.5454545,270454545.4545457,86207386.36363637,25287500000.0,1236597064.3939395,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,9,0.06,1785000000.0,1622727272.7272725,162272727.2727274,40230113.63636363,27072500000.0,1276827178.0303032,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,10,0.04,1190000000.0,1081818181.8181818,108181818.18181828,19157196.96969697,28262500000.0,1295984375.0000002,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,11,0.03,892500000.0,811363636.3636363,81136363.6363637,8620738.636363637,29155000000.0,1304605113.636364,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-001,12,0.02,595000000.0,540909090.9090909,54090909.09090914,1915719.696969697,29750000000.0,1306520833.3333337,29750000000.0,27045454545.454544,2704545454.545457,0.085,31056520833.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,1,0.05,1593750000.0,1448863636.3636363,144886363.6363638,118022017.04545455,1593750000.0,118022017.04545455,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,2,0.08,2550000000.0,2318181818.181818,231818181.81818208,172414772.72727272,4143750000.0,290436789.77272725,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,3,0.1,3187500000.0,2897727272.7272725,289772727.2727276,194992897.72727275,7331250000.0,485429687.5,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,4,0.12,3825000000.0,3477272727.2727265,347727272.7272731,209360795.4545454,11156250000.0,694790482.9545454,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,5,0.14,4462500000.0,4056818181.818182,405681818.18181866,215518465.9090909,15618750000.0,910308948.8636363,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,6,0.14,4462500000.0,4056818181.818182,405681818.18181866,186782670.4545455,20081250000.0,1097091619.3181818,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,7,0.12,3825000000.0,3477272727.2727265,347727272.7272731,135468749.99999997,23906250000.0,1232560369.3181818,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,8,0.1,3187500000.0,2897727272.7272725,289772727.2727276,92365056.81818181,27093750000.0,1324925426.1363635,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,9,0.06,1912500000.0,1738636363.6363633,173863636.36363655,43103693.18181817,29006250000.0,1368029119.3181818,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,10,0.04,1275000000.0,1159090909.090909,115909090.90909104,20525568.18181818,30281250000.0,1388554687.5,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,11,0.03,956250000.0,869318181.8181816,86931818.18181828,9236505.68181818,31237500000.0,1397791193.1818182,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-002,12,0.02,637500000.0,579545454.5454545,57954545.45454552,2052556.8181818181,31875000000.0,1399843750.0,31875000000.0,28977272727.272724,2897727272.727276,0.085,33274843750.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,1,0.05,1168750000.0,1062500000.0,106250000.00000007,86549479.16666667,1168750000.0,86549479.16666667,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,2,0.08,1870000000.0,1700000000.0,170000000.00000012,126437500.0,3038750000.0,212986979.1666667,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,3,0.1,2337500000.0,2125000000.0,212500000.00000015,142994791.66666666,5376250000.0,355981770.8333334,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,4,0.12,2805000000.0,2550000000.0,255000000.00000015,153531250.00000003,8181250000.0,509513020.8333334,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,5,0.14,3272500000.0000005,2975000000.0000005,297500000.00000024,158046875.00000003,11453750000.0,667559895.8333334,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,6,0.14,3272500000.0000005,2975000000.0000005,297500000.00000024,136973958.33333337,14726250000.0,804533854.1666667,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,7,0.12,2805000000.0,2550000000.0,255000000.00000015,99343750.00000001,17531250000.0,903877604.1666667,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,8,0.1,2337500000.0,2125000000.0,212500000.00000015,67734375.0,19868750000.0,971611979.1666667,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,9,0.06,1402500000.0,1275000000.0,127500000.00000007,31609375.000000004,21271250000.0,1003221354.1666667,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,10,0.04,935000000.0,850000000.0,85000000.00000006,15052083.333333334,22206250000.0,1018273437.5000001,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,11,0.03,701250000.0,637500000.0,63750000.00000004,6773437.500000001,22907500000.0,1025046875.0000001,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-003,12,0.02,467500000.0,425000000.0,42500000.00000003,1505208.3333333333,23375000000.0,1026552083.3333335,23375000000.0,21250000000.0,2125000000.0000014,0.085,24401552083.333332,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,1,0.05,1540625000.0,1400568181.818182,140056818.18181825,114087949.81060608,1540625000.0,114087949.81060608,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,2,0.08,2465000000.0,2240909090.909091,224090909.0909092,166667613.63636366,4005625000.0,280755563.44696975,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,3,0.1,3081250000.0,2801136363.636364,280113636.3636365,188493134.469697,7086875000.0,469248697.91666675,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,4,0.12,3697500000.0,3361363636.363636,336136363.6363638,202382102.27272725,10784375000.0,671630800.189394,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,5,0.14,4313750000.0,3921590909.0909095,392159090.9090911,208334517.0454546,15098125000.0,879965317.2348486,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,6,0.14,4313750000.0,3921590909.0909095,392159090.9090911,180556581.43939397,19411875000.0,1060521898.6742426,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,7,0.12,3697500000.0,3361363636.363636,336136363.6363638,130953124.99999999,23109375000.0,1191475023.6742425,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,8,0.1,3081250000.0,2801136363.636364,280113636.3636365,89286221.59090911,26190625000.0,1280761245.2651515,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,9,0.06,1848750000.0,1680681818.181818,168068181.8181819,41666903.40909091,28039375000.0,1322428148.6742425,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,10,0.04,1232500000.0,1120454545.4545455,112045454.5454546,19841382.575757578,29271875000.0,1342269531.25,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,11,0.03,924375000.0,840340909.090909,84034090.90909095,8928622.159090908,30196250000.0,1351198153.409091,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-004,12,0.02,616250000.0,560227272.7272727,56022727.2727273,1984138.2575757578,30812500000.0,1353182291.6666667,30812500000.0,28011363636.363636,2801136363.636365,0.085,32165682291.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,1,0.05,1275000000.0,1159090909.090909,115909090.90909106,94417613.63636363,1275000000.0,94417613.63636363,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,2,0.08,2040000000.0,1854545454.5454545,185454545.45454568,137931818.18181822,3315000000.0,232349431.81818184,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,3,0.1,2550000000.0,2318181818.181818,231818181.8181821,155994318.18181816,5865000000.0,388343750.0,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,4,0.12,3060000000.0,2781818181.8181815,278181818.1818185,167488636.36363634,8925000000.0,555832386.3636364,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,5,0.14,3570000000.0000005,3245454545.4545455,324545454.545455,172414772.72727272,12495000000.0,728247159.0909091,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,6,0.14,3570000000.0000005,3245454545.4545455,324545454.545455,149426136.36363637,16065000000.0,877673295.4545455,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,7,0.12,3060000000.0,2781818181.8181815,278181818.1818185,108375000.0,19125000000.0,986048295.4545455,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,8,0.1,2550000000.0,2318181818.181818,231818181.8181821,73892045.45454545,21675000000.0,1059940340.909091,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,9,0.06,1530000000.0,1390909090.9090908,139090909.09090924,34482954.54545454,23205000000.0,1094423295.4545455,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,10,0.04,1020000000.0,927272727.2727273,92727272.72727284,16420454.545454547,24225000000.0,1110843750.0,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,11,0.03,765000000.0,695454545.4545454,69545454.54545462,7389204.545454544,24990000000.0,1118232954.5454545,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-005,12,0.02,510000000.0,463636363.6363636,46363636.36363642,1642045.4545454548,25500000000.0,1119875000.0,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,1,0.05,1275000000.0,1159090909.090909,115909090.90909106,94417613.63636363,1275000000.0,94417613.63636363,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,2,0.08,2040000000.0,1854545454.5454545,185454545.45454568,137931818.18181822,3315000000.0,232349431.81818184,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,3,0.1,2550000000.0,2318181818.181818,231818181.8181821,155994318.18181816,5865000000.0,388343750.0,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,4,0.12,3060000000.0,2781818181.8181815,278181818.1818185,167488636.36363634,8925000000.0,555832386.3636364,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,5,0.14,3570000000.0000005,3245454545.4545455,324545454.545455,172414772.72727272,12495000000.0,728247159.0909091,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,6,0.14,3570000000.0000005,3245454545.4545455,324545454.545455,149426136.36363637,16065000000.0,877673295.4545455,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,7,0.12,3060000000.0,2781818181.8181815,278181818.1818185,108375000.0,19125000000.0,986048295.4545455,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,8,0.1,2550000000.0,2318181818.181818,231818181.8181821,73892045.45454545,21675000000.0,1059940340.909091,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,9,0.06,1530000000.0,1390909090.9090908,139090909.09090924,34482954.54545454,23205000000.0,1094423295.4545455,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,10,0.04,1020000000.0,927272727.2727273,92727272.72727284,16420454.545454547,24225000000.0,1110843750.0,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,11,0.03,765000000.0,695454545.4545454,69545454.54545462,7389204.545454544,24990000000.0,1118232954.5454545,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-006,12,0.02,510000000.0,463636363.6363636,46363636.36363642,1642045.4545454548,25500000000.0,1119875000.0,25500000000.0,23181818181.81818,2318181818.181821,0.085,26619875000.0,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,1,0.05,1381250000.0,1255681818.181818,125568181.81818198,102285748.10606058,1381250000.0,102285748.10606058,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,2,0.08,2210000000.0,2009090909.0909088,200909090.90909114,149426136.36363634,3591250000.0,251711884.46969694,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,3,0.1,2762500000.0,2511363636.363636,251136363.63636395,168993844.69696966,6353750000.0,420705729.1666666,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,4,0.12,3315000000.0,3013636363.636363,301363636.36363673,181446022.72727272,9668750000.0,602151751.8939394,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,5,0.14,3867500000.0000005,3515909090.909091,351590909.09090954,186782670.45454547,13536250000.0,788934422.3484849,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,6,0.14,3867500000.0000005,3515909090.909091,351590909.09090954,161878314.3939394,17403750000.0,950812736.7424242,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,7,0.12,3315000000.0,3013636363.636363,301363636.36363673,117406249.99999999,20718750000.0,1068218986.7424242,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,8,0.1,2762500000.0,2511363636.363636,251136363.63636395,80049715.90909089,23481250000.0,1148268702.6515152,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,9,0.06,1657500000.0,1506818181.8181815,150681818.18181837,37356534.090909086,25138750000.0,1185625236.7424242,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,10,0.04,1105000000.0,1004545454.5454544,100454545.45454557,17788825.757575754,26243750000.0,1203414062.5,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,11,0.03,828750000.0,753409090.9090908,75340909.09090918,8004971.59090909,27072500000.0,1211419034.090909,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-007,12,0.02,552500000.0,502272727.2727272,50227272.727272786,1778882.5757575755,27625000000.0,1213197916.6666665,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-008,1,0.05,1381250000.0,1255681818.181818,125568181.81818198,102285748.10606058,1381250000.0,102285748.10606058,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
VG-008,2,0.08,2210000000.0,2009090909.0909088,200909090.90909114,149426136.36363634,3591250000.0,251711884.46969694,27625000000.0,25113636363.63636,2511363636.3636394,0.085,28838197916.666668,PASS,ASM-CONSTRUCTION-SCHEDULE
