project_id,case,ppa_price_vnd_kwh,capex_factor,ppa_tenor_years,customer_ceiling_vnd_kwh,sponsor_floor_vnd_kwh,lender_floor_vnd_kwh,lower_bound_vnd_kwh,upper_bound_vnd_kwh,zone_status,action,customer_solver_status,sponsor_solver_status,lender_solver_status,customer_solver_iterations,sponsor_solver_iterations,lender_solver_iterations,customer_solver_residual,sponsor_solver_residual,lender_solver_residual,customer_solver_interval,sponsor_solver_interval,lender_solver_interval
VG-001,CURRENT_TERMS,2080.75,1.0,15,2537.4999999999964,3029.680350939556,1579.8102864196642,3029.680350939556,2537.4999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.365379949607195e-05,-4.017353057861328e-05,2.220446049250313e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1368683772161603e-11
VG-001,NEGOTIATED_TERMS_HYPOTHETICAL,2511.6709678531647,0.8,15,2537.4999999999964,2485.841935706333,1327.1723096353844,2485.841935706333,2537.4999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,5.365379949607195e-05,-4.076957702636719e-05,2.4424906541753444e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1141310096718371e-11
VG-002,CURRENT_TERMS,2163.98,1.0,18,2638.9999999999964,3029.6803509395636,1579.8102864196621,3029.6803509395636,2638.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,6.382409531191906e-05,1.722574234008789e-05,6.661338147750939e-16,1.1368683772161603e-11,1.1823431123048067e-11,1.1596057447604835e-11
VG-002,NEGOTIATED_TERMS_HYPOTHETICAL,2562.420967853165,0.8,18,2638.9999999999964,2485.8419357063344,1327.1723096353862,2485.8419357063344,2638.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,6.382409531191906e-05,-3.3020973205566406e-05,4.218847493575595e-15,1.1368683772161603e-11,1.1823431123048067e-11,1.1596057447604835e-11
VG-003,CURRENT_TERMS,2116.42,1.0,15,2580.9999999999964,3029.6803509395636,1579.810286419665,3029.6803509395636,2580.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.161709639554338e-05,1.1801719665527344e-05,3.1086244689504383e-15,1.1368683772161603e-11,1.1823431123048067e-11,1.1368683772161603e-11
VG-003,NEGOTIATED_TERMS_HYPOTHETICAL,2533.4209678531674,0.8,15,2580.9999999999964,2485.8419357063385,1327.1723096353799,2485.8419357063385,2580.9999999999964,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.161709639554338e-05,-2.086162567138672e-07,-2.4424906541753444e-15,1.1368683772161603e-11,1.1368683772161603e-11,1.1596057447604835e-11
VG-004,CURRENT_TERMS,2192.4,1.0,20,2435.9999999999964,3029.680350939565,1579.8102864196567,3029.680350939565,2435.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,6.276220631945916e-05,3.325939178466797e-05,-3.1086244689504383e-15,1.0459189070388675e-11,1.0913936421275139e-11,1.0913936421275139e-11
VG-004,NEGOTIATED_TERMS_HYPOTHETICAL,2435.9999999999964,0.8,20,2435.9999999999964,2485.8419357063376,1327.1723096353803,2485.8419357063376,2435.9999999999964,EMPTY_ZONE,RENEGOTIATE_OR_REJECT,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,6.276220631945916e-05,-1.8477439880371094e-06,-1.3322676295501878e-15,1.0459189070388675e-11,1.0459189070388675e-11,1.0913936421275139e-11
VG-005,CURRENT_TERMS,2235.32,1.0,15,2725.999999999997,2702.6067305772494,1409.259531880601,2702.6067305772494,2725.999999999997,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.6443113132041376e-05,-4.750490188598633e-05,-4.6629367034256575e-15,1.1823431123048067e-11,1.2278178473934531e-11,1.2278178473934531e-11
VG-005,NEGOTIATED_TERMS_HYPOTHETICAL,2471.7395976456164,0.8,15,2725.999999999997,2217.4791952912356,1183.895461296432,2217.4791952912356,2725.999999999997,FEASIBLE_ZONE,PROCEED,ROOT_CONVERGED,ROOT_CONVERGED,ROOT_CONVERGED,48,48,48,4.6443113132041376e-05,-3.883242607116699e-05,-5.773159728050814e-15,1.1823431123048067e-11,1.2278178473934531e-11,1.2278178473934531e-11
