portfolio_case,scenario,scenario_note,selected_count,project_npv_vnd,project_irr_min,equity_npv_vnd,equity_irr_min,min_dscr,status
CURRENT_TERMS,BASE_SPONSOR,P50; contractual base terms,0,0,,0,,0.0,PASS
CURRENT_TERMS,P90_ENERGY,P90 generation; no re-sizing of commercial price,0,0,,0,,0.0,PASS
CURRENT_TERMS,CAPEX_OVERRUN,15% CAPEX overrun; debt re-sized,0,0,,0,,0.0,PASS
CURRENT_TERMS,COD_DELAY,one-year COD delay; CFADS shifted,0,0,,0,,0.0,PASS
CURRENT_TERMS,INTEREST_RATE_SHOCK,rate moves to 11%; debt re-sized,0,0,,0,,0.0,PASS
CURRENT_TERMS,DSO_DELAY,DSO moves from 30 to 90 days,0,0,,0,,0.0,PASS
CURRENT_TERMS,COMBINED_DOWNSIDE,P90; 15% CAPEX; 11% rate; DSO 90; COD delay; 10% common haircut,0,0,,0,,0.0,PASS
NEGOTIATED_TERMS,BASE_SPONSOR,P50; contractual base terms,13,7241248582.183787,0.11610740398694908,11325211807.311485,0.14141466175576667,1.2999999999999998,PASS
NEGOTIATED_TERMS,P90_ENERGY,P90 generation; no re-sizing of commercial price,13,-22494253874.280163,0.09105967157835548,-12928109917.311718,0.09557112706853144,1.2999999999999998,PASS
NEGOTIATED_TERMS,CAPEX_OVERRUN,15% CAPEX overrun; debt re-sized,13,-30597592633.200104,0.09387237922476166,-19139851176.50477,0.10070769999639062,1.2999999999999998,PASS
NEGOTIATED_TERMS,COD_DELAY,one-year COD delay; CFADS shifted,13,-30679564332.18748,0.0937564256769231,-23532028835.12486,0.09922663341097315,0.0,FAIL_DSCR
NEGOTIATED_TERMS,INTEREST_RATE_SHOCK,rate moves to 11%; debt re-sized,13,7241248582.183787,0.11610740398694908,-1617080419.5062497,0.12112995309358265,1.2999999999999998,PASS
NEGOTIATED_TERMS,DSO_DELAY,DSO moves from 30 to 90 days,13,872295088.1800667,0.11223734340015257,6635692138.623806,0.13522315206823776,1.2999999999999998,PASS
NEGOTIATED_TERMS,COMBINED_DOWNSIDE,P90; 15% CAPEX; 11% rate; DSO 90; COD delay; 10% common haircut,13,-122571450807.51587,0.03810136154678345,-131304848225.76175,0.017893505660492637,0.0,FAIL_DSCR
