observation_id,candidate_project_id,canonical_project_id,field_name,raw_value,raw_unit,normalized_value,normalized_unit,currency,value_date,publisher,document_title,source_url,publication_date,access_date,source_tier,evidence_class,confidence,location_context,quotation_context,source_status,conflict_flag,superseded_flag,notes
OBS-VN-GY-TAL-TAV-installed_capacity_kwp,VN-GY-TAL-TAV,VN-GY-TAL-TAV,installed_capacity_kwp,1890,kWp,1890,kWp,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-annual_generation_kwh,VN-GY-TAL-TAV,VN-GY-TAL-TAV,annual_generation_kwh,2016000,kWh,2016000,kWh,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-developer,VN-GY-TAL-TAV,VN-GY-TAL-TAV,developer,GreenYellow,,GreenYellow,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-offtaker,VN-GY-TAL-TAV,VN-GY-TAL-TAV,offtaker,TAV Limited,,TAV Limited,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-country,VN-GY-TAL-TAV,VN-GY-TAL-TAV,country,Vietnam,,Vietnam,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-project_status,VN-GY-TAL-TAV,VN-GY-TAL-TAV,project_status,OPERATING,,OPERATING,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-business_model,VN-GY-TAL-TAV,VN-GY-TAL-TAV,business_model,ONSITE_PPA,,ONSITE_PPA,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-TAV-self_consumption_signal,VN-GY-TAL-TAV,VN-GY-TAL-TAV,self_consumption_signal,PUBLIC_SELF_CONSUMPTION,,PUBLIC_SELF_CONSUMPTION,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,TAV Limited,1.89 MWp; 2.016 GWh/year.,PUBLIC_PRIMARY,FALSE,FALSE,1.89 MWp; 2.016 GWh/year.
OBS-VN-GY-TAL-VGM-installed_capacity_kwp,VN-GY-TAL-VGM,VN-GY-TAL-VGM,installed_capacity_kwp,2500,kWp,2500,kWp,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
OBS-VN-GY-TAL-VGM-developer,VN-GY-TAL-VGM,VN-GY-TAL-VGM,developer,GreenYellow,,GreenYellow,,,2026-09-01,GreenYellow,GY-VN-TAL,https://www.greenyellow.com/a-la-une/greenyellow-accompagne-tal-apparel-dans-sa-transition-energetique-au-vietnam/,,2026-09-01,B1,OBSERVED_PROJECT_FACT,HIGH,Vietnam Garments,2.5 MWp under construction.,PUBLIC_PRIMARY,FALSE,FALSE,2.5 MWp under construction.
