project_id,region,pvout_kwh_kwp,source_id,resource_period,screening_method,shortlist_detailed_method_flag
VG-001,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-002,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-003,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-004,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-005,Central,1480,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-006,Central,1480,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-007,Central,1480,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-008,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-009,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-010,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-011,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-012,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-013,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-014,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-015,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-016,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-017,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-018,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-019,North,1320,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
VG-020,South,1420,SRC-SOLAR-GSA,long_term,PVOUT_screening,TRUE
