project_id,capex_category,amount_local,currency,unit_basis,payment_month,vat_rate,source_or_assumption_id
VG-001,modules,44087644444,VND,per_project,1,0.1,ASM-CAPEX
VG-001,inverters,185168106667,VND,per_project,1,0.1,ASM-CAPEX
VG-001,mounting_electrical,102871170370,VND,per_project,1,0.1,ASM-CAPEX
VG-001,civil_roof_interconnection,154306755556,VND,per_project,1,0.1,ASM-CAPEX
VG-001,engineering_permitting,308613511111,VND,per_project,1,0.1,ASM-CAPEX
VG-001,fees_contingency,154306755556,VND,per_project,1,0.1,ASM-CAPEX
VG-002,modules,45487615238,VND,per_project,1,0.1,ASM-CAPEX
VG-002,inverters,191047984000,VND,per_project,1,0.1,ASM-CAPEX
VG-002,mounting_electrical,106137768889,VND,per_project,1,0.1,ASM-CAPEX
VG-002,civil_roof_interconnection,159206653333,VND,per_project,1,0.1,ASM-CAPEX
VG-002,engineering_permitting,318413306667,VND,per_project,1,0.1,ASM-CAPEX
VG-002,fees_contingency,159206653333,VND,per_project,1,0.1,ASM-CAPEX
VG-003,modules,34093879111,VND,per_project,1,0.1,ASM-CAPEX
VG-003,inverters,143194292267,VND,per_project,1,0.1,ASM-CAPEX
VG-003,mounting_electrical,79552384593,VND,per_project,1,0.1,ASM-CAPEX
VG-003,civil_roof_interconnection,119328576889,VND,per_project,1,0.1,ASM-CAPEX
VG-003,engineering_permitting,238657153778,VND,per_project,1,0.1,ASM-CAPEX
VG-003,fees_contingency,119328576889,VND,per_project,1,0.1,ASM-CAPEX
VG-004,modules,47317316952,VND,per_project,1,0.1,ASM-CAPEX
VG-004,inverters,198732731200,VND,per_project,1,0.1,ASM-CAPEX
VG-004,mounting_electrical,110407072889,VND,per_project,1,0.1,ASM-CAPEX
VG-004,civil_roof_interconnection,165610609333,VND,per_project,1,0.1,ASM-CAPEX
VG-004,engineering_permitting,331221218667,VND,per_project,1,0.1,ASM-CAPEX
VG-004,fees_contingency,165610609333,VND,per_project,1,0.1,ASM-CAPEX
VG-005,modules,31057880381,VND,per_project,1,0.1,ASM-CAPEX
VG-005,inverters,130443097600,VND,per_project,1,0.1,ASM-CAPEX
VG-005,mounting_electrical,72468387556,VND,per_project,1,0.1,ASM-CAPEX
VG-005,civil_roof_interconnection,108702581333,VND,per_project,1,0.1,ASM-CAPEX
VG-005,engineering_permitting,217405162667,VND,per_project,1,0.1,ASM-CAPEX
VG-005,fees_contingency,108702581333,VND,per_project,1,0.1,ASM-CAPEX
VG-006,modules,33808368762,VND,per_project,1,0.1,ASM-CAPEX
VG-006,inverters,141995148800,VND,per_project,1,0.1,ASM-CAPEX
