facility_id,project_or_portfolio_id,currency,construction_or_term,reference_rate,spread_bps,all_in_rate,sizing_dscr,sculpting_dscr,minimum_covenant_dscr,lockup_dscr,llcr_floor,leverage_cap,debt_tenor_years,dsra_months,simulated_term_flag
FAC-VG-001,VG-001,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-002,VG-002,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-003,VG-003,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-004,VG-004,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-005,VG-005,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-006,VG-006,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-007,VG-007,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-008,VG-008,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-009,VG-009,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-010,VG-010,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-011,VG-011,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-012,VG-012,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-013,VG-013,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-014,VG-014,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-015,VG-015,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-016,VG-016,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-017,VG-017,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-018,VG-018,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-019,VG-019,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
FAC-VG-020,VG-020,VND,term,0.05,350,0.085,1.3,1.3,1.2,1.25,1.35,0.65,10,6,TRUE
